Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
01-07-2025,AAPL,209.02,206.68,210.48,205.01,53813618,3.22622E+12,27.38,0.52,7.55,231.45,173.54,Technology
01-07-2025,ABBV,187.01,189.97,191.84,186.3,14831744,3.22689E+11,14.09,3.48,13.48,255.99,158.77,Healthcare
01-07-2025,ABT,115.83,113.9,117.36,112.75,18439336,1.89833E+11,24.09,1.7,4.73,131.38,83.47,Healthcare
01-07-2025,ADBE,598.97,597.43,604.53,594.05,32093085,2.58886E+11,41.74,0,14.31,802.91,422.6,Technology
01-07-2025,ADP,248.69,248.51,249.3,247.11,3084969,1.02328E+11,31.3,2.22,7.94,274.26,228.28,Financials
01-07-2025,AMD,172.14,175.47,177.04,169.98,13307626,2.65864E+11,39.76,0,4.41,223.79,157.79,Technology
01-07-2025,AMGN,314.11,314.21,316.22,309.99,4963861,1.5968E+11,14.86,3.27,21.14,392.99,258.57,Healthcare
01-07-2025,AMT,198.54,203.17,205.79,197.07,8581514,94151951220,29.22,2.29,6.95,232.01,163.94,Real Estate
01-07-2025,AMZN,178.35,182.09,183.19,176.21,66653598,1.87293E+12,35.41,0,5.14,214.86,166.08,Consumer Discretionary
01-07-2025,AVGO,1713.93,1666.58,1723.13,1657.26,11761290,7.64666E+11,34.13,1.78,48.83,2216.59,1473.91,Technology
01-07-2025,BAC,44.54,45.26,45.64,44.25,29575943,3.36819E+11,16.64,2.13,2.72,50.63,41.62,Financials
01-07-2025,BKNG,3680.82,3632.24,3690.57,3599.05,7074871,1.30761E+11,21.96,0,165.4,4005.58,2653.85,Consumer Discretionary
01-07-2025,BLK,874.29,864.14,877.51,860.22,6525026,1.33324E+11,21.85,2.26,39.55,1150.19,706.89,Financials
01-07-2025,BMY,53.96,54.12,54.65,53.82,14203213,1.0332E+11,10.1,4.8,5.36,62.53,41.38,Healthcare
01-07-2025,BRK.B,431.18,438.02,443.66,429.57,32605244,9.06248E+11,18.93,0,23.14,543.87,299.75,Financials
01-07-2025,C,64.56,64.13,65.25,63.53,5791822,1.23327E+11,12.52,3.76,5.12,86.03,45.81,Financials
01-07-2025,CAT,361.07,359.92,363.39,356.7,14193295,1.87158E+11,16.96,1.99,21.22,392.29,277.06,Industrials
01-07-2025,CB,239.1,234.81,240.78,233.19,5860004,91048775510,14.92,1.75,15.74,285.65,207.66,Financials
01-07-2025,COST,878.08,872.74,889.66,866.61,9665238,3.79019E+11,36.21,0.48,24.1,1054.11,621.45,Consumer Staples
01-07-2025,CRM,274.33,281.25,283.51,272.09,34199158,2.65909E+11,43.38,0,6.48,356.82,220.33,Technology
01-07-2025,CVX,157.65,151.67,158.38,150.57,24338492,2.70673E+11,13.08,3.18,11.6,169.74,122.59,Energy
01-07-2025,DIS,114.12,114.32,115.03,113.46,5792183,1.97278E+11,37.17,0,3.08,127.51,80.33,Communication Services
01-07-2025,DUK,114.39,113.34,114.62,112.32,6424866,84489818182,17.04,4.09,6.65,128.15,96.68,Utilities
01-07-2025,ELV,540.41,553.54,555.56,538.62,6876605,1.24671E+11,13.95,1.03,39.68,739.64,380.5,Healthcare
01-07-2025,GE,172.23,174.41,175.43,170.47,6103480,1.84376E+11,28.41,0.41,6.14,196.42,140.25,Industrials
01-07-2025,GILD,77.93,79.59,80.54,77.27,3056222,94513125000,18.43,3.91,4.32,101.66,56.78,Healthcare
01-07-2025,GOOGL,178.83,179.51,180.21,176.43,36312247,2.13581E+12,27.43,0,6.54,239.9,152.67,Communication Services
01-07-2025,GS,456.33,459.56,462.51,450.8,7496985,1.54852E+11,12.16,2.04,37.79,503.75,416.96,Financials
01-07-2025,HD,379.75,382.03,385.98,376.41,29000779,3.9773E+11,25.16,2.51,15.18,481.95,262.39,Consumer Discretionary
01-07-2025,HON,216.92,214.73,220.03,212.87,2849437,1.44818E+11,24.63,2.04,8.72,264.42,156.63,Industrials
01-07-2025,IBM,201.7,199.98,204.11,197.98,4902428,1.79469E+11,24.77,3.25,8.07,231.71,144.45,Technology
01-07-2025,INTC,37.95,36.99,38.43,36.8,13658485,1.42676E+11,17.78,1.43,2.08,42.61,26.65,Technology
01-07-2025,INTU,649.38,663.53,669.69,647.57,4673787,1.78643E+11,66.51,0.55,9.98,801.04,565.82,Technology
01-07-2025,ISRG,470.43,479.04,484.79,467.91,6253342,1.61416E+11,50.68,0,9.45,566.44,319.28,Healthcare
01-07-2025,JNJ,167.15,163.79,167.82,163.37,32909210,4.13164E+11,18.29,2.87,8.96,208.06,137.47,Healthcare
01-07-2025,JPM,216.36,214.22,217.88,212.52,17456827,5.98784E+11,13.41,2.39,15.97,288.19,181.75,Financials
01-07-2025,KO,67.16,66.11,67.84,65.96,10955522,2.88299E+11,24.33,2.76,2.72,83.71,53.42,Consumer Staples
01-07-2025,LLY,930.45,953.28,962.04,927.21,19079622,8.52935E+11,46.95,1.16,20.3,1205.46,753.54,Healthcare
01-07-2025,LMT,491.72,497.35,503.89,486,2254940,1.19157E+11,16.52,2.44,30.11,650.72,429.02,Industrials
01-07-2025,LOW,236.8,234.04,238.3,231.06,12615813,1.48066E+11,25.29,1.94,9.25,254.53,190.52,Consumer Discretionary
01-07-2025,MA,479.08,490,492.81,477.55,18785111,4.59375E+11,37.05,0.51,13.23,578.64,318.68,Financials
01-07-2025,MDLZ,70.32,69.79,70.87,69.57,13638729,89595270270,18.95,2.26,3.68,83.82,62.02,Consumer Staples
01-07-2025,MDT,93.72,92.21,95.01,90.92,5728598,1.17824E+11,14.76,3.51,6.25,120.77,76.79,Healthcare
01-07-2025,META,494.52,502.08,507.32,487.73,70268923,1.3919E+12,22.92,0.4,21.91,558.74,359.63,Communication Services
01-07-2025,MMC,205.19,209.42,211.98,203.05,10212977,1.02275E+11,21.83,1.73,9.59,276.98,171.9,Financials
01-07-2025,MRK,133.74,131.26,135.27,130.75,20993677,3.23102E+11,17.76,2.49,7.39,158.23,95.01,Healthcare
01-07-2025,MS,100.76,102.74,103.17,100.45,11542603,1.69521E+11,13.72,2.92,7.49,130.33,87.02,Financials
01-07-2025,MSFT,439.19,436.34,444.86,432.53,51969691,3.10955E+12,30.37,0.7,14.37,544,312.35,Technology
01-07-2025,NEE,75.47,74.68,76.25,73.61,3086765,1.54028E+11,20.73,2.81,3.6,87.44,66.23,Utilities
01-07-2025,NFLX,695.45,712.03,717.6,685.29,9151529,2.95361E+11,37.76,0,18.86,878.27,517.03,Communication Services
01-07-2025,NKE,85.88,84.57,86.25,84.13,7436009,1.26855E+11,29.61,1.05,2.86,109.92,59.58,Consumer Discretionary
01-07-2025,NOW,823.86,832.47,839.41,821.6,10928188,1.71391E+11,86.88,0,9.58,962.57,747.22,Technology
01-07-2025,NVDA,512.17,510.52,517.55,508.3,89235910,2.85891E+12,43.1,0,11.85,648.38,368.13,Technology
01-07-2025,ORCL,153.81,156.37,157.55,151.79,33026180,4.45257E+11,24.57,1.03,6.36,199.23,109.99,Technology
01-07-2025,PEP,178.12,182.15,183.4,175.97,11822577,2.37807E+11,22.35,2.51,8.15,230.79,154.21,Consumer Staples
01-07-2025,PFE,28.83,29.3,29.5,28.74,9695665,1.55952E+11,10.73,5.79,2.73,37.64,22.85,Healthcare
01-07-2025,PG,177.36,174.29,179.78,172.11,9416553,3.94047E+11,23.44,2.18,7.44,195.18,146.31,Consumer Staples
01-07-2025,PLD,130.13,129.15,130.47,127.52,14789499,1.24183E+11,39.29,3.07,3.29,165.94,115.39,Real Estate
01-07-2025,PM,110.47,109.98,110.83,108.54,12208269,1.6497E+11,18.13,4.65,6.07,120.7,77.67,Consumer Staples
01-07-2025,PYPL,71,70.24,71.22,70.1,13771111,75257142857,20.42,0,3.44,81.14,63.37,Financials
01-07-2025,QCOM,212.46,215.11,217.02,211.43,25856791,2.25115E+11,19.16,1.92,11.23,282.37,179.21,Technology
01-07-2025,REGN,1141.65,1168.24,1182.22,1126.56,3412379,1.22134E+11,19.79,0,59.03,1435.48,765.21,Healthcare
01-07-2025,RTX,121.12,119.77,122.19,119.33,14114814,1.57994E+11,19.17,2.44,6.25,130.76,91.65,Industrials
01-07-2025,SCHW,82.44,80.7,82.82,79.56,9763521,1.36181E+11,19.34,1.13,4.17,93.2,58.1,Financials
01-07-2025,SO,85.74,84.54,86.22,84.37,7684361,87523764706,19.95,3.6,4.24,100.76,61.34,Utilities
01-07-2025,SPGI,461.52,472.99,474.4,458.48,7888659,1.49095E+11,41.32,0.76,11.45,636.1,349.38,Financials
01-07-2025,SYK,366.99,357.95,370.92,353.78,13316498,1.30603E+11,33.45,0.84,10.7,471.48,327.76,Healthcare
01-07-2025,T,19.39,19.33,19.49,19.22,2748028,1.24264E+11,8.02,6.59,2.41,23.09,16.4,Communication Services
01-07-2025,TJX,116.72,115.93,118.27,115.42,13915910,1.30421E+11,22.26,1.18,5.21,155.06,85.73,Consumer Discretionary
01-07-2025,TMO,585.08,599.58,604.14,583.9,26767592,2.27427E+11,23.8,0.3,25.19,712.36,499.82,Healthcare
01-07-2025,TSLA,260.43,264.13,265.51,258.67,33140417,8.63502E+11,51.11,0,5.17,312.43,176.1,Consumer Discretionary
01-07-2025,TXN,202.96,209.26,211.8,200.11,14122834,1.88844E+11,27.37,2.49,7.65,250.39,146.48,Technology
01-07-2025,UBER,78.28,78.63,78.84,77.17,8069991,1.52018E+11,29.69,0,2.65,89.33,55.5,Technology
01-07-2025,UNH,580.62,573.32,584.92,565.92,30226451,5.25543E+11,27.35,1.12,20.96,755.81,441.52,Healthcare
01-07-2025,UNP,261.49,257.04,263.1,253.57,11525361,1.5624E+11,23.04,2.02,11.16,321.86,187.97,Industrials
